date	close
02-Jan-17	13.88
02-Jan-17	23.25
02-Jan-17	35.72
02-Jan-17	119.6
02-Jan-17	143.62
02-Jan-17	184.52
02-Jan-17	202.6
02-Jan-17	233.29
02-Jan-17	340.75
02-Jan-17	754.65
03-Jan-17	19.32
03-Jan-17	25.96
03-Jan-17	26.91
03-Jan-17	112.06
03-Jan-17	130.2
03-Jan-17	184.39
03-Jan-17	186.95
03-Jan-17	238.98
03-Jan-17	383.9
03-Jan-17	809.85
06-Jan-17	21.88
06-Jan-17	22.22
06-Jan-17	30.68
06-Jan-17	114.13
06-Jan-17	127.03
06-Jan-17	144.68
06-Jan-17	179.86
06-Jan-17	227.28
06-Jan-17	358.14
06-Jan-17	835.75
08-Jan-17	19.2
08-Jan-17	21.86
08-Jan-17	38.7
08-Jan-17	111.52
08-Jan-17	125.88
08-Jan-17	128.73
08-Jan-17	160.6
08-Jan-17	197.7
08-Jan-17	338.04
08-Jan-17	660.67
11-Jan-17	12.5
11-Jan-17	14.22
11-Jan-17	35.18
11-Jan-17	84.8
11-Jan-17	85.46
11-Jan-17	105.02
11-Jan-17	105.16
11-Jan-17	138.44
11-Jan-17	286.59
11-Jan-17	527.36
01-Feb-17	14.96
01-Feb-17	18.46
01-Feb-17	39.67
01-Feb-17	115.9
01-Feb-17	122.96
01-Feb-17	171.8
01-Feb-17	200.6
01-Feb-17	222.62
01-Feb-17	324.9
01-Feb-17	681.42
02-Feb-17	14.24
02-Feb-17	24.41
02-Feb-17	35.23
02-Feb-17	122.82
02-Feb-17	145.43
02-Feb-17	183.28
02-Feb-17	201.06
02-Feb-17	230.6
02-Feb-17	344.79
02-Feb-17	757.09
03-Feb-17	20.32
03-Feb-17	27.05
03-Feb-17	27.75
03-Feb-17	115.85
03-Feb-17	132.03
03-Feb-17	185.44
03-Feb-17	188.27
03-Feb-17	242.75
03-Feb-17	385.01
03-Feb-17	807.8
05-Feb-17	16.69
05-Feb-17	24.16
05-Feb-17	28.52
05-Feb-17	108.7
05-Feb-17	128.01
05-Feb-17	152.66
05-Feb-17	197.86
05-Feb-17	234.14
05-Feb-17	347.4
05-Feb-17	915.33
06-Feb-17	22.38
06-Feb-17	22.49
06-Feb-17	31.36
06-Feb-17	114.02
06-Feb-17	126.13
06-Feb-17	142.71
06-Feb-17	184.01
06-Feb-17	222.92
06-Feb-17	352.14
06-Feb-17	834.13
08-Feb-17	20.2
08-Feb-17	22.77
08-Feb-17	37.02
08-Feb-17	114.55
08-Feb-17	125.66
08-Feb-17	134.23
08-Feb-17	159.97
08-Feb-17	200.9
08-Feb-17	339.82
08-Feb-17	673.55
10-Feb-17	16.93
10-Feb-17	18.05
10-Feb-17	32.98
10-Feb-17	92.72
10-Feb-17	98.97
10-Feb-17	110.22
10-Feb-17	117.9
10-Feb-17	147.07
10-Feb-17	301.6
10-Feb-17	531.42
11-Feb-17	12.17
11-Feb-17	14.07
11-Feb-17	34.1
11-Feb-17	82.82
11-Feb-17	85.47
11-Feb-17	100.78
11-Feb-17	104.73
11-Feb-17	138.77
11-Feb-17	284.79
11-Feb-17	527.76
01-Mar-17	15.3
01-Mar-17	18.99
01-Mar-17	39.57
01-Mar-17	115.18
01-Mar-17	124.05
01-Mar-17	180.34
01-Mar-17	196.96
01-Mar-17	232.64
01-Mar-17	335.92
01-Mar-17	681.22
02-Mar-17	14.55
02-Mar-17	25.2
02-Mar-17	33.78
02-Mar-17	120.36
02-Mar-17	143.83
02-Mar-17	180.7
02-Mar-17	203.88
02-Mar-17	230.63
02-Mar-17	357.49
02-Mar-17	766.39
03-Mar-17	20.33
03-Mar-17	26.82
03-Mar-17	27.11
03-Mar-17	113.76
03-Mar-17	133.43
03-Mar-17	184.3
03-Mar-17	187.62
03-Mar-17	239.32
03-Mar-17	380.43
03-Mar-17	802.35
04-Mar-17	19.1
04-Mar-17	23
04-Mar-17	25.37
04-Mar-17	109.79
04-Mar-17	132.01
04-Mar-17	168.19
04-Mar-17	189.38
04-Mar-17	230.87
04-Mar-17	361.05
04-Mar-17	780.31
05-Mar-17	16.23
05-Mar-17	23.58
05-Mar-17	28.92
05-Mar-17	108.16
05-Mar-17	127.85
05-Mar-17	150.42
05-Mar-17	198.21
05-Mar-17	232.42
05-Mar-17	350.49
05-Mar-17	908.59
07-Mar-17	17.86
07-Mar-17	19.18
07-Mar-17	34.68
07-Mar-17	106.36
07-Mar-17	112.18
07-Mar-17	116.74
07-Mar-17	169.91
07-Mar-17	202.6
07-Mar-17	311.91
07-Mar-17	824.31
08-Mar-17	21.21
08-Mar-17	22.88
08-Mar-17	36.24
08-Mar-17	113.83
08-Mar-17	125.39
08-Mar-17	130.08
08-Mar-17	164.51
08-Mar-17	201.02
08-Mar-17	339.56
08-Mar-17	690.92
10-Mar-17	16.22
10-Mar-17	17.8
10-Mar-17	31.4
10-Mar-17	90.01
10-Mar-17	97.14
10-Mar-17	109.21
10-Mar-17	112.01
10-Mar-17	139.73
10-Mar-17	289.89
10-Mar-17	527.41
11-Mar-17	12.5
11-Mar-17	15.07
11-Mar-17	34.53
11-Mar-17	85.16
11-Mar-17	87.07
11-Mar-17	103.28
11-Mar-17	105.97
11-Mar-17	142.08
11-Mar-17	287.62
11-Mar-17	529.48
01-Apr-17	14.79
01-Apr-17	18.74
01-Apr-17	38.75
01-Apr-17	113.1
01-Apr-17	125.59
01-Apr-17	176.29
01-Apr-17	191.2
01-Apr-17	230.4
01-Apr-17	334.41
01-Apr-17	688.57
04-Apr-17	19.11
04-Apr-17	23.07
04-Apr-17	25.65
04-Apr-17	109.16
04-Apr-17	132.36
04-Apr-17	166
04-Apr-17	187.41
04-Apr-17	232.66
04-Apr-17	362.76
04-Apr-17	779.24
05-Apr-17	16.69
05-Apr-17	24.04
05-Apr-17	30.36
05-Apr-17	110.03
05-Apr-17	127.69
05-Apr-17	153.76
05-Apr-17	198.9
05-Apr-17	237.81
05-Apr-17	361.29
05-Apr-17	918.06
07-Apr-17	18.41
07-Dec-17	314.35
07-Dec-17	678.26
09-Dec-17	16.45
09-Dec-17	19.59
09-Dec-17	27.34
09-Dec-17	91.55
09-Dec-17	98.5
09-Dec-17	114.61
09-Dec-17	129.06
09-Dec-17	150.43
09-Dec-17	290.4
09-Dec-17	555.75
10-Dec-17	13.79
10-Dec-17	16.26
10-Dec-17	30.47
10-Dec-17	83.04
10-Dec-17	89.98
10-Dec-17	105.63
10-Dec-17	106.04
10-Dec-17	137.88
10-Dec-17	281.72
10-Dec-17	512.57
12-Dec-17	12.47
12-Dec-17	12.86
12-Dec-17	30.61
12-Dec-17	64.94
12-Dec-17	72.28
12-Dec-17	92.75
12-Dec-17	95.85
12-Dec-17	124.05
12-Dec-17	258.75
12-Dec-17	501.97
01-Jan-18	13.99
01-Jan-18	17.95
01-Jan-18	27.97
01-Jan-18	70.48
01-Jan-18	77.33
01-Jan-18	90.3
01-Jan-18	108.2
01-Jan-18	136.34
01-Jan-18	280.3
01-Jan-18	500.88
02-Jan-18	16.57
02-Jan-18	26.72
02-Jan-18	27.69
02-Jan-18	86.67
02-Jan-18	91.44
02-Jan-18	100.69
02-Jan-18	137.6
02-Jan-18	164.67
02-Jan-18	302.09
02-Jan-18	519.72
03-Jan-18	14.99
03-Jan-18	26.63
03-Jan-18	29.82
03-Jan-18	92.12
03-Jan-18	98
03-Jan-18	105.75
03-Jan-18	132.54
03-Jan-18	149.51
03-Jan-18	308.06
03-Jan-18	475.01
06-Jan-18	18.17
06-Jan-18	20.54
06-Jan-18	34.76
06-Jan-18	95.69
06-Jan-18	95.83
06-Jan-18	97.35
06-Jan-18	113.2
06-Jan-18	125.88
06-Jan-18	303.66
06-Jan-18	402.43
08-Jan-18	17.87
08-Jan-18	18.15
08-Jan-18	35.19
08-Jan-18	91.51
08-Jan-18	92.33
08-Jan-18	95.39
08-Jan-18	98.46
08-Jan-18	119.72
08-Jan-18	278.53
08-Jan-18	336.47
10-Jan-18	13.8
10-Jan-18	18.65
10-Jan-18	29.82
10-Jan-18	80.44
10-Jan-18	82.88
10-Jan-18	83.99
10-Jan-18	86.38
10-Jan-18	100.62
10-Jan-18	252.89
10-Jan-18	312.56
11-Jan-18	16.51
11-Jan-18	17.27
11-Jan-18	35.99
08-Feb-18	91.32
08-Feb-18	96.64
08-Feb-18	97.99
08-Feb-18	118.14
08-Feb-18	281.4
08-Feb-18	331.66
10-Feb-18	14
10-Feb-18	17.68
10-Feb-18	30.08
10-Feb-18	80.35
10-Feb-18	81.36
10-Feb-18	83.5
10-Feb-18	87.63
10-Feb-18	98.1
10-Feb-18	254.54
10-Feb-18	316.72
11-Feb-18	16.76
11-Feb-18	17.82
11-Feb-18	36.55
11-Feb-18	78.16
11-Feb-18	79.92
11-Feb-18	93.12
11-Feb-18	95.36
11-Feb-18	111.07
11-Feb-18	259.64
11-Feb-18	344.5
01-Mar-18	14.18
01-Mar-18	17.96
01-Mar-18	25.9
01-Mar-18	70.82
01-Mar-18	77.47
01-Mar-18	92.15
01-Mar-18	111.65
01-Mar-18	143.19
01-Mar-18	281.49
01-Mar-18	506.99
04-Mar-18	15.74
04-Mar-18	27.65
04-Mar-18	36.76
04-Mar-18	101.43
04-Mar-18	101.48
04-Mar-18	108.1
04-Mar-18	134.89
04-Mar-18	171.58
04-Mar-18	317.53
04-Mar-18	502.57
05-Mar-18	20.69
05-Mar-18	22.21
05-Mar-18	36.13
05-Mar-18	95.98
05-Mar-18	99.52
05-Mar-18	101.5
05-Mar-18	124.88
05-Mar-18	143.59
05-Mar-18	307.66
05-Mar-18	474.88
07-Mar-18	16.33
07-Mar-18	17.55
07-Mar-18	30.97
07-Mar-18	88.09
07-Mar-18	90.23
07-Mar-18	90.83
07-Mar-18	95.28
07-Mar-18	112.63
07-Mar-18	300.65
07-Mar-18	315.03
08-Mar-18	17.28
08-Mar-18	18.29
08-Mar-18	35.2
08-Mar-18	90.25
08-Mar-18	92.49
08-Mar-18	96.21
08-Mar-18	97.99
08-Mar-18	117.61
08-Mar-18	282.85
08-Mar-18	338.85
09-Mar-18	14.99
09-Mar-18	17.24
09-Mar-18	34.83
09-Mar-18	84.17
09-Mar-18	87.76
09-Mar-18	89.63
09-Mar-18	91.98
09-Mar-18	111.71
09-Mar-18	277.69
09-Mar-18	328.83
10-Mar-18	13.82
10-Mar-18	17.02
10-Mar-18	30.36
10-Mar-18	79.99
10-Mar-18	80.21
10-Mar-18	82.78
10-Mar-18	87.92
10-Mar-18	97.47
10-Mar-18	247.35
10-Mar-18	313.99
12-Mar-18	13
12-Mar-18	15.96
12-Mar-18	36.3
12-Mar-18	64.46
12-Mar-18	74.69
12-Mar-18	82.35
12-Mar-18	90.55
12-Mar-18	92.34
12-Mar-18	196.64
12-Mar-18	300.88
01-Apr-18	14.37
01-Apr-18	18.96
01-Apr-18	26.77
01-Apr-18	70.92
01-Apr-18	78
01-Apr-18	92.45
01-Apr-18	109.4
01-Apr-18	141.87
01-Apr-18	284.83
01-Apr-18	508.94
04-Apr-18	16.74
04-Apr-18	27.1
04-Apr-18	36.62
04-Apr-18	100.06
04-Apr-18	100.46
04-Apr-18	106.96
04-Apr-18	133.34
04-Apr-18	165.45
04-Apr-18	315.36
04-Apr-18	488.73
05-Apr-18	19.8
05-Apr-18	22.96
05-Apr-18	36.63
05-Apr-18	96.34
05-Apr-18	98.2
05-Apr-18	102.07
05-Apr-18	124.37
05-Apr-18	142.77
05-Apr-18	307.14
05-Apr-18	479.46
06-Apr-18	17.94
06-Apr-18	20.5
06-Apr-18	35.23
06-Apr-18	96.17
06-Apr-18	96.37
09-Jun-18	107.09
09-Jun-18	276.72
09-Jun-18	323.28
11-Jun-18	14.84
11-Jun-18	16.73
11-Jun-18	38.08
11-Jun-18	72.93
11-Jun-18	74.04
11-Jun-18	86.53
11-Jun-18	93.92
11-Jun-18	100.47
11-Jun-18	275.05
11-Jun-18	338.24
12-Jun-18	13.04
12-Jun-18	16.81
12-Jun-18	36.6
12-Jun-18	63
12-Jun-18	68.88
12-Jun-18	80.93
12-Jun-18	85.48
12-Jun-18	90.75
12-Jun-18	184.69
12-Jun-18	292.96
02-Jul-18	16.8
02-Jul-18	26.77
02-Jul-18	28.28
02-Jul-18	90.36
02-Jul-18	94.11
02-Jul-18	99.13
02-Jul-18	136.08
02-Jul-18	158.54
02-Jul-18	297.92
02-Jul-18	521.47
03-Jul-18	14.91
03-Jul-18	26.76
03-Jul-18	29.34
03-Jul-18	91.16
03-Jul-18	97.84
03-Jul-18	106.23
03-Jul-18	134.15
03-Jul-18	154.34
03-Jul-18	300.06
03-Jul-18	488.94
05-Jul-18	18.99
05-Jul-18	22.54
05-Jul-18	36.24
05-Jul-18	96.5
05-Jul-18	97.22
05-Jul-18	101
05-Jul-18	124.82
05-Jul-18	141.24
05-Jul-18	311.74
05-Jul-18	478.25
06-Jul-18	18.7
06-Jul-18	19.87
06-Jul-18	34.43
06-Jul-18	96.26
06-Jul-18	97.53
06-Jul-18	99.73
06-Jul-18	114.14
06-Jul-18	131.3
06-Jul-18	309.86
06-Jul-18	409.33
08-Jul-18	17.78
08-Jul-18	18.14
08-Jul-18	34.45
08-Jul-18	91.7
08-Jul-18	95.73
08-Jul-18	96.34
08-Jul-18	97.28
08-Jul-18	125.31
08-Jul-18	296
08-Jul-18	343.79
09-Jul-18	13.71
09-Jul-18	20.35
09-Jul-18	32.88
09-Jul-18	77.31
09-Jul-18	83.1
09-Jul-18	84.76
09-Jul-18	89.63
09-Jul-18	102.26
09-Jul-18	277.59
09-Jul-18	322.27
11-Jul-18	15.84
11-Jul-18	17.4
11-Jul-18	38.58
11-Jul-18	74.96
11-Jul-18	77.69
11-Jul-18	87.86
11-Jul-18	93.95
11-Jul-18	105.49
11-Jul-18	278
11-Jul-18	341.38
12-Jul-18	13.31
12-Jul-18	17
12-Jul-18	36.79
12-Jul-18	63.48
12-Jul-18	72.07
12-Jul-18	81.99
12-Jul-18	89.72
12-Jul-18	90.2
12-Jul-18	192.1
12-Jul-18	299.54
01-Aug-18	15.68
01-Aug-18	20.96
01-Aug-18	27.2
01-Aug-18	75.48
01-Aug-18	81.01
01-Aug-18	94.27
01-Aug-18	112.82
01-Aug-18	142.85
01-Aug-18	290.15
01-Aug-18	521.81
02-Aug-18	16.01
02-Aug-18	26.77
02-Aug-18	28.88
02-Aug-18	90.39
02-Aug-18	92.57
02-Aug-18	98.9
02-Aug-18	129.28
02-Aug-18	151.25
02-Aug-18	300.17
02-Aug-18	521.56
03-Aug-18	14.9
03-Aug-18	28.09
03-Aug-18	28.94
03-Aug-18	89.69
03-Aug-18	96.25
03-Aug-18	105.5
03-Aug-18	131.41
03-Aug-18	150.91
03-Aug-18	297.67
03-Aug-18	483.84
05-Aug-18	18.07
05-Aug-18	21.6
05-Aug-18	36.73
05-Aug-18	95.67
05-Aug-18	96.85
05-Aug-18	100.55
05-Aug-18	122.85
05-Aug-18	137.42
05-Aug-18	308.76
05-Aug-18	472.25
08-Aug-18	17.36
08-Aug-18	17.86
08-Aug-18	34.86
08-Aug-18	90.67
08-Aug-18	93.08
08-Aug-18	96.79
08-Aug-18	97.1
08-Aug-18	123.11
08-Aug-18	293.07
08-Aug-18	346.76
10-Aug-18	11.53
10-Aug-18	16.45
10-Aug-18	27.58
10-Aug-18	67.04
10-Aug-18	71.79
10-Aug-18	75.72
10-Aug-18	84.43
10-Aug-18	85.97
10-Aug-18	212.09
10-Aug-18	297.15
11-Aug-18	15.52
11-Aug-18	17
11-Aug-18	37.83
11-Aug-18	75.32
11-Aug-18	75.58
11-Aug-18	86.76
11-Aug-18	94.97
11-Aug-18	106.13
11-Aug-18	265.79
11-Aug-18	340.01
01-Sep-18	16.32
01-Sep-18	22
01-Sep-18	27.26
01-Sep-18	74.43
09-Dec-18	99.86
09-Dec-18	276.08
09-Dec-18	315.14
10-Dec-18	10.02
10-Dec-18	15.54
10-Dec-18	29.36
10-Dec-18	59.01
10-Dec-18	68.54
10-Dec-18	72.4
10-Dec-18	81.45
10-Dec-18	82.56
10-Dec-18	181.18
10-Dec-18	297
11-Dec-18	15.43
11-Dec-18	16.8
11-Dec-18	38.22
11-Dec-18	72.99
11-Dec-18	73.93
11-Dec-18	83.88
11-Dec-18	93.03
11-Dec-18	105.58
11-Dec-18	247.79
11-Dec-18	336.36
12-Dec-18	12.89
12-Dec-18	16.3
12-Dec-18	36.54
12-Dec-18	66.39
12-Dec-18	69.86
12-Dec-18	86.98
12-Dec-18	87.66
12-Dec-18	89.35
12-Dec-18	182.51
12-Dec-18	294.06
01-Jan-19	12.23
01-Jan-19	17
01-Jan-19	38.85
01-Jan-19	65.94
01-Jan-19	73
01-Jan-19	80.76
01-Jan-19	83.98
01-Jan-19	87.64
01-Jan-19	183.08
01-Jan-19	305.54
02-Jan-19	14.29
02-Jan-19	15.82
02-Jan-19	39.69
02-Jan-19	64.44
02-Jan-19	68.98
02-Jan-19	87.2
02-Jan-19	89.81
02-Jan-19	93.12
02-Jan-19	242.04
02-Jan-19	335.89
03-Jan-19	11.87
03-Jan-19	14.5
03-Jan-19	37.09
03-Jan-19	51.11
12-Feb-19	232.06
12-Feb-19	340.44
01-Mar-19	11.62
01-Mar-19	17.72
01-Mar-19	38.88
01-Mar-19	63
01-Mar-19	72.02
01-Mar-19	77.59
01-Mar-19	82.31
01-Mar-19	86.24
01-Mar-19	176.97
01-Mar-19	314.99
04-Mar-19	11.19
04-Mar-19	12.95
04-Mar-19	34.02
04-Mar-19	46
04-Mar-19	60.96
04-Mar-19	65.49
04-Mar-19	75.56
